Year,Fund Code,Dept Number,Appropriation Authority,Description,Previous Year Grant,Anticipated Grant,Carryover,Year Total
2014,2940,050,0N15,One Summer Plus,250000,,250000,250000
2014,2932,050,0P38,Relatives Raising Children,20000,30000,,30000
2014,2828,050,0P95,Resident Service / Case Management,1425000,2900000,,2900000
2014,2831,050,0272,Safe Havens - Supervised Visit,650000,,500000,500000
2014,2910,050,0074,Senior Citizens Picnic Support,,25000,,25000
2014,2868,050,0P98,Senior Companion Project - Action,297000,300000,,300000
2014,2816,050,0P41,Senior Fitness Private,140000,210000,,210000
2014,2946,050,0J04,Senior Health Assistance Program,315000,320000,,320000
2014,2928,050,0J05,Senior Health Insurance Program,40000,54000,,54000
2014,2945,050,0P96,Senior Medicare Patrol,,22000,,22000
2014,2837,050,0529,Senior Program Private Contributions,632000,1100000,,1100000
2014,2827,050,0N20,Services to Victims of Domestic Violence,238000,238000,,238000
2014,2936,050,0869,Shelter Plus Care,11953000,,262000,262000
2014,2938,050,0869,Shelter Plus Care,12941000,,12941000,12941000
2014,2927,050,0869,Shelter Plus Care,380000,,380000,380000
2014,2938,050,0N22,Shelter Plus Care,,16000000,,16000000
2014,2839,050,0869,Shelter Plus Care - HUD 2006,1561000,,780000,780000
2014,2838,050,0869,Shelter Plus Care - HUD 2007,3076000,,870000,870000
2014,2849,050,0869,Shelter Plus Care - HUD 2008,806000,,750000,750000
2014,2888,050,0869,Shelter Plus Grant - 2009,1950000,,1800000,1800000
2014,2818,050,0J21,State Foster Grandparents,37000,40000,,40000
2014,2803,050,0P36,State Senior Companion MATCH,16000,20000,,20000
2014,2862,050,0J01,State Senior Employment Specialist,22000,25000,,25000
2014,2870,050,0N23,Summer Food Service,1759000,1897000,,1897000
2014,2873,050,0P94,Title XX Donated Funds,,1200000,,1200000
2014,2918,050,0P61,Veterans Directed Home and Community Based Services Programs,2276000,,2276000,2276000
2014,2822,050,0168,Warming Center Program - Service Tax Trust Fund,14000,15000,,15000
2014,2822,050,0K40,Community Development Block Grant,24864960,25880407,,25880407
2014,2822,050,0K40,Total - 050 - Department of Family and Support Services,261917892,245174924,23116000,268290924
2014,2803,091,0821,Cataloging Grant,2000,,,
2014,2895,091,0J20,Illinois Library Development-Per Capita and Area,6168000,6168000,,6168000
2014,2813,091,0815,Independence Branch Capital,275000,,275000,275000
2014,2845,091,0898,Patron Driven Acquisitions,300000,,275000,275000
2014,2842,091,0815,State Capital Construction Program,9935000,,9935000,9935000
2014,2844,091,0J22,Subregional Library for Blind and Physically Handicapped - Talking Book Center,579000,579000,,579000
2014,2844,091,0J22,Total - 091 - Chicago Public Library,17259000,6747000,10485000,17232000
2014,2844,091,0J22,Total - Community Services,401272941,365404924,46078000,411482924
2014,0S16,057,2938,ARRA - Arra - Byrne/Justice Assistance Grant (Local),3166000,,,
2014,0S26,057,2965,ARRA - Arra - Campaign to Break the Code of Silence,225000,,,
2014,0S15,057,2947,ARRA - Arra Transit Security Grant Program,1400000,,,
2014,0S21,057,2956,ARRA - COPS Hiring Recovery Program (Chrp),3000000,,,
2014,2816,057,0657,Asset Forfeiture - Federal,4334000,117000,,117000
2014,2816,057,0B17,Asset Forfeiture - Federal,,2792000,,2792000
2014,2817,057,0191,Asset Forfeiture - State,1942000,2750000,,2750000
2014,2991,057,0P19,Ballistics Lab Equipment Project,389000,,,
2014,2835,057,0094,Building Safe Blocks Initiative,276000,,161000,161000
2014,2808,057,0J11,Bulletproof Vests Partnership - BJA,,1638000,,1638000
2014,2808,057,0P19,Bulletproof Vests Partnership - BJA,81000,,29000,29000
2014,2931,057,0P28,Byrne Justice Assistance,434000,,,
2014,2946,057,0P42,Byrne Memorial Justice Assistance,1600000,,1000000,1000000
2014,2973,057,0P84,CHA Altgeld-Riverdale Community (Arc) Partnership,35000,,,
2014,2983,057,0P69,COPS Hiring Program,3125000,,3065000,3065000
2014,2997,057,0P84,COPS Hiring Program,,3125000,,3125000
2014,2975,057,0P19,COPS Secure Our Schools,1492000,,498000,498000
2014,2985,057,0P68,Edward Byrne Memorial Justice Assistance,10113000,,8948000,8948000
2014,2978,057,0P55,Edward Byrne Memorial Justice Assistance Grant,2291000,,1200000,1200000
2014,2996,057,0J14,Edward Byrne Memorial Justice Assistance Grant (JAG),,5000000,,5000000
2014,2902,057,0P19,FY2007 COPS Methamphetamine Initiative,77000,,25000,25000
2014,2901,057,0P19,FY2007 COPS Technology Grant,563000,,,
2014,2972,057,0P19,Gang Resistance and Education Training,95000,,70000,70000
2014,2968,057,0J12,IDOT Sustained Traffic Enforcement Program (Step),,332000,,332000
2014,2968,057,0P19,IDOT Sustained Traffic Enforcement Program (Step),302000,,,
2014,2987,057,0J16,Injury Prevention Project,,113000,,113000
2014,2987,057,0P17,Injury Prevention Project,8000,,,
2014,2948,057,0J13,Juvenile Block Grant,,150000,,150000
2014,2948,057,0P19,Juvenile Block Grant,196000,,100000,100000
2014,2995,057,0J07,Local Alcohol Program,,539000,,539000
2014,2882,057,0P04,National Explosives Detection Canine Team Program,758000,758000,,758000
2014,2992,057,0P17,Pedestrian/Bicycle Safety Project,104000,,,
2014,2990,057,0P19,Police Leadership Training Program,35000,,,
2014,2953,057,0P19,Predictive Policing,2500000,,1000000,1000000
2014,2854,057,0094,Public Safety Private Support,236000,,234000,234000
2014,2993,057,0P82,REMS Readiness for Emergency Management for Schools Grant - Project Secure,25000,,25000,25000
2014,2906,057,0P17,SFY2007 IDOT DUI Strikeforce,300000,,,
2014,2912,057,0P19,Safe Routes to Schools,100000,,100000,100000
2014,2925,057,0P19,Secure Our Schools 2008,118000,,53000,53000
2014,2910,057,0P19,Solving Cold Cases with DNA,580000,,350000,350000
2014,2961,057,0P19,Solving Cold Cases with DNA,500000,,480000,480000
2014,2897,057,0824,Stop Alcohol to Minors,45000,,,
2014,2921,057,0P04,Transit Security,3650000,,2433000,2433000
2014,2980,057,0P46,Transit Security,7579000,,6672000,6672000
2014,2929,057,0P46,Transit Security 2008,5300000,,,
2014,2934,057,0P46,Transit Security Grant,6680000,8694000,,8694000
2014,2976,057,0P46,Transit Security Grant Program,3496000,,3496000,3496000
2014,2844,057,0J08,Violence Against Women - Domestic Violence Protection,,207000,,207000
2014,2844,057,0824,Violence Against Women - Domestic Violence Protection,207000,,103000,103000
2014,2844,057,0K40,Community Development Block Grant,,2265108,,2265108
2014,2844,057,0K40,Total - 057 - Department of Police,67357000,28480108,30042000,58522108
2014,2869,058,0M08,Buffer Zone Protection Program 2010,1400000,,,
2014,2896,058,0M39,Camera Safety Partnership Program,70000,,,
2014,2826,058,0M02,ComEd - Weather Emergency Grant,50000,,47000,47000
2014,2820,058,0N30,Emergency Management Assistance Grant,,565000,,565000
2014,2872,058,0M08,Emergency Operations Center Grant Program,955000,,,
2014,2888,058,0M11,Hazard Mitigation,500000,,,
2014,2880,058,0M13,Jp Morgan Chase Foundation,575000,,,
2014,2884,058,0M14,Metropolitan Medical Response System,282000,,282000,282000
2014,2835,058,0M02,Nextel Frequency Reconfiguration Project,500000,,493000,493000
2014,2831,058,0N32,Port Security Grant,,7532000,,7532000
2014,2831,058,0M39,Port Security Grant,3405000,,169000,169000
2014,2875,058,0M08,Port Security Grant 2010,841000,,,
2014,2885,058,0M14,Regional Catastrophic Preparedness,959000,,959000,959000
2014,2859,058,0M06,Regional Catastrophic Preparedness,3200000,,,
2014,2876,058,0M08,Regional Catastrophic Preparedness Grant Program 2010,3417000,,,
2014,2855,058,0783,Traffic Management Authority Control Aides,229000,,,
2014,2877,058,0M08,Urban Areas Security Initiative,30904000,,,
2014,2890,058,0M14,Urban Areas Security Initiative,24642000,,20000000,20000000
2014,2883,058,0M14,Urban Areas Security Initiative,31878655,,10000000,10000000
2014,2811,058,0N31,Urban Areas Security Initiative - Phse 3 (ODP),,45000000,,45000000
2014,2811,058,0M39,Urban Areas Security Initiative - Phse 3 (ODP),32000000,,31774783,31774783
2014,2893,058,0M14,Video Surveillance Network,1000000,,1000000,1000000
2014,2893,058,0M14,Total - 058 - Office of Emergency Management and Communications,136807655,53097000,64724783,117821783
2014,2812,059,0J18,Assistance to Fire Fighters,,3750000,,3750000
2014,2812,059,0790,Assistance to Fire Fighters,4001000,,3857000,3857000
2014,2810,059,0825,Fire Academy Training & Improvement,3468000,,2000000,2000000
2014,2810,059,0825,Total - 059 - Fire Department,7469000,3750000,5857000,9607000
2014,2810,059,0825,Total - Public Safety,211633655,85327108,100623783,185950891
2014,,067,0K40,Community Development Block Grant,7723360,6546065,,6546065
2014,,067,0K40,Total - 067 - Department of Buildings,7723360,6546065,,6546065
2014,2815,070,0P20,Cable Local Origination,425000,427000,,427000
2014,2801,070,0K52,Tobacco Enforcement Grant,,398000,,398000
2014,2801,070,0K03,Tobacco Enforcement Grant,398000,,160000,160000
2014,2801,070,0K03,Total - 070 - Department of Business Affairs and Consumer Protection,823000,825000,160000,985000
2014,2807,073,0P21,Dog Pavillion Renovation,2000000,,2000000,2000000
2014,2805,073,0P21,Dog Rescue Project,18000,18000,10000,28000
2014,2806,073,0P21,Grainger Community,10000,,,
2014,2806,073,0P21,Total - 073 - Commission on Animal Care and Control,2028000,18000,2010000,2028000
2014,2806,073,0P21,Total - Regulatory,10574360,7389065,2170000,9559065
2014,2828,081,0P07,Community Prize Award,20000,,,
2014,2827,081,0M42,Emerald Ash Borer Urban Forestry Restoration,73000,,,
2014,2827,081,0K40,Community Development Block Grant,,6000000,,6000000
2014,2827,081,0K40,Total - 081 - Department of Streets and Sanitation,93000,6000000,,6000000
2014,0S51,084,2952,ARRA - Arra - Urban and Community Forestry Program Stimulus Carryover,421000,,421000,421000
2014,0S55,084,2954,ARRA - Chicago Area Alternative Fuels Deployment Project Carryover,1120000,,436000,436000
2014,0M29,084,2936,ARRA - Transportation Community and System Preservation,,1000000,,1000000
2014,2926,084,0598,Bicycle Parking Donations Program,3000,150000,,150000
2014,2835,084,0M46,Bridge Funds (HBRRP) - Federal,,4000000,,4000000
2014,2836,084,0M46,Bridge Funds (HBRRP) - State,,1000000,,1000000
2014,2880,084,0M54,Bridge Maintenance,600000,600000,,600000
2014,2942,084,0P12,CMAQ - Bicycle Fleet Program Carryover,80000,,,
2014,2948,084,0P14,CMAQ - Chicago Diesel Retrofit Fleet Vehicle Carryover,1118000,,1118000,1118000
2014,2944,084,0P12,CMAQ - Diesel Fleet Retrofit Carryover,473000,,473000,473000
2014,2943,084,0P12,CMAQ - Emissions Reduction Project Carryover,1739000,,1739000,1739000
2014,2940,084,0P16,Calumet Area Redevelopment Initiative Carryover,6000,,,
2014,2941,084,0863,Calumet Environmental Center / IL First Carryover,1643000,,1643000,1643000
2014,2957,084,0P29,Chicago Area Plug-In Electric Vehicle Support Project,205000,,205000,205000
2014,2837,084,0598,Chicago Bicycle Safety Initiative,385000,,,
2014,2970,084,0598,Chicago Bike Sharing Program,4073000,75000,,75000
2014,2959,084,0P29,Chicago Center for Green Technology Permeable Parking Lot,,75000,,75000
2014,2968,084,0M57,Chicago Metropolitan Agency for Planning (CMAP Local Assistance Program),,100000,,100000
2014,2805,084,0M67,Congestion Mitigation Air Quality-Federal,,219655000,,219655000
2014,2805,084,0784,Congestion Mitigation Air Quality-Federal,60310000,22430000,,22430000
2014,2873,084,0M72,Cook County Highway Program,2364000,400000,,400000
2014,2929,084,0827,"DCEO Disaster Recovery ""Ike"" Program",6233000,,,
2014,2864,084,0M47,DCEO Grant - Roadway Beautification and Enhancement Projects,350000,5835000,,5835000
2014,2866,084,0810,Discretionary Section 115,800000,,,
2014,2949,084,0P12,Ethanol to Hydrogen Vehicle Fueling Facility Carryover,1980000,,1824000,1824000
2014,2976,084,0M12,Federal 2006 Highway Priority,24000,,,
2014,2975,084,0M12,Federal 2006 Surface Transportation Program,279000,,,
2014,2978,084,0810,Federal Section 112,1041000,,,
2014,2937,084,0M28,Federal Section 117,1189000,,,
2014,2980,084,0M35,Green Corps Invansive Species Removal Jobs in the Millenium Reserve,397000,,,
2014,2964,084,0011,Hegewish Marsh - Ecology for All,100000,,100000,100000
2014,2869,084,0817,High Priority/SAFETEA-LU - Federal,2800000,3280000,,3280000
2014,2869,084,0M69,High Priority/SAFETEA-LU - Federal,,17960000,,17960000
2014,2871,084,0817,High Priority/SAFETEA-LU - State,700000,,,
2014,2982,084,0283,Highway Bridge Program (HBP) - State,24400000,,,
2014,2924,084,0283,Highway Bridge Program (Hbp),96818000,,,
2014,2925,084,0M51,Highway Safety Improvement Program,,400000,,400000
2014,2925,084,0283,Highway Safety Improvement Program,165000,1260000,,1260000
2014,2974,084,0M56,Highway Safety Program Injury Prevention,,385000,,385000
2014,2984,084,0M12,I-GO Peer To Peer Car Sharing,716000,,716000,716000
2014,2923,084,0M61,IDOT Emergency Repair Program,1240000,,,
2014,2801,084,0M55,IDOT Funds-Arterial Streets,,43625000,,43625000
2014,2801,084,0597,IDOT Funds-Arterial Streets,49564000,16773000,,16773000
2014,2922,084,0M62,IDOT Section 408 Traffic Safety,548000,500000,,500000
2014,2938,084,0M73,Illinois Green Infrastructure Grant,110000,1675000,,1675000
2014,2977,084,0834,Illinois Jobs Now,10900000,8960000,,8960000
2014,2906,084,0M48,Major Bridge,,4480000,,4480000
2014,2901,084,0M07,Outside Funding Contributions,75000,1000000,,1000000
2014,2921,084,0283,Safe Routes to School,314000,90000,,90000
2014,2921,084,0M52,Safe Routes to School,,1264000,,1264000
2014,2971,084,0783,State Arterial Street Resurfacing,17303000,,,
2014,2972,084,0783,State Arterial Street Resurfacing,25083000,,,
2014,2981,084,0598,State Planning and Research,110000,,,
2014,2820,084,0781,Surface Transportation Program - Construction - Federal,72044000,11610000,,11610000
2014,2820,084,0M60,Surface Transportation Program - Construction - Federal,,75654000,,75654000
2014,2945,084,0781,Surface Transportation Program - Construction - State,8434000,,,
2014,2830,084,0783,Surface Transportation Program - Engineering - Federal,18064000,7929000,,7929000
2014,2830,084,0M65,Surface Transportation Program - Engineering - Federal,,36233000,,36233000
2014,2872,084,0783,Surface Transportation Program - Enhancement - Federal,1200000,6800000,,6800000
2014,2872,084,0M49,Surface Transportation Program - Enhancement - Federal,,16003000,,16003000
2014,2931,084,0M50,Surface Transportation Program - Priority,2175000,640000,,640000
2014,2983,084,0M80,Taxi ADA Vehicle Equipment,1772000,,,
2014,2979,084,0810,The 606 Park and Trail,16500000,,,
2014,2919,084,0M66,Transportation Investments Generating Economic Recovery,,15900000,,15900000
2014,2825,084,0M58,Transportation Planning,811000,1000000,,1000000
2014,2962,084,0P07,Urban Bird Treaty Existing Cities,10000,,,
2014,2815,084,0M59,Vertical Clearance Improvement,2001000,2720000,,2720000
2014,2868,084,0702,Wrigleyville Community Safety Cleanliness Project,129000,129000,,129000
2014,2868,084,0702,Total - 084 - Chicago Department of Transportation,440919000,531590000,8675000,540265000
2014,2868,084,0702,Total - Infrastructure Services,441012000,537590000,8675000,546265000
2014,2824,085,0623,Midway - AIP - Noise Program,,20000000,,20000000
2014,2805,085,0623,Midway - Airport Improvement Program,7337000,33000000,5087000,38087000
2014,2817,085,0623,Midway - Electric Energy Efficiency Program,,100000,,100000
2014,2814,085,0623,Midway - Transportation Security Administration,500000,,,
2014,2807,085,0623,Midway TSA,18128000,15600000,2603000,18203000
2014,2810,085,0624,O'Hare - Airport Improvement Program,135919000,115000000,42500000,157500000
2014,2813,085,0624,O'Hare - Airport Improvement Program (Aip) - Noise Program,54466000,20000000,49374000,69374000
2014,2811,085,0624,O'Hare - Transportation Security Administration,26465000,25900000,25643000,51543000
2014,2815,085,0624,O'Hare / Midway - TSA National Explosives Detection Canine Team Program,1331000,1600000,,1600000
2014,2800,085,0624,O'Hare Airport - FAA (Moa) - Phase II,43190000,27000000,12556000,39556000
2014,2816,085,0624,O'Hare Airport - Public Sector Electric Energy Efficiency Program,27000,500000,,500000
2014,2816,085,0624,Total - 085 - Department of Aviation,287363000,258700000,137763000,396463000
2014,2816,085,0624,Total - Public Service Enterprises,287363000,258700000,137763000,396463000
2014,2816,085,0624,Total - All Programs,1544132000,1334537217,360524783,1695062000
2014,,085,,Total 0562 - AIDS - Care Act,,,28398000,1135808
2014,,085,,Total 0929 - Com Ed Settlement Fund II,,,11118000,2295000
2014,,085,,Total 0H05 - Health Services Program Income,,,8788000,7791000
2014,,085,,Total 0H42 - Bioterrorism Preparedness Response Planning,,,502398,9819000
2014,,085,,Total 0M39 - OEMC Grants 2013,,,35698345,32169000
2014,,085,,Total 0N21 - Child Care Services,,,,26000000
2014,,085,,Total 0N27 - Head Start,,,113547000,113547000
2014,,085,,Total 0P14 - Department of General Services - Federal,,,3677000,3617000
2014,,085,,Total 0P29 - Department of Environment State Grants,,,501000,380000
2015,2809,001,0929,ComEd Settlement Fund,374115,372580,,372580
2015,2803,001,0J39,Gun Violence Prevention,150000,150000,,150000
2015,2800,001,0P71,Innovation Delivery Grant,2000000,,1926000,1926000
2015,2805,001,0P92,National Forum on Youth Violence Prevention,469000,,255000,255000
2015,2804,001,0J38,Smart Grid / Energy Efficiency Consumer Education,155000,155000,,155000
2015,2804,001,0J38,Total - 001 - Office of the Mayor,3148115,677580,2181000,2858580
2015,2855,005,0075,Central Grants Management,1952000,1952000,,1952000
2015,2809,005,0929,ComEd Settlement Fund,1000112,,1000420,1000420
2015,2880,005,0J63,Community Development Block Grant - Disaster Recovery,2390000,,2390000,2390000
2015,2814,005,0J63,Community Development Block Grant - Disaster Recovery,,11000000,,11000000
2015,2812,005,0J63,Community Development Block Grant - Disaster Recovery,4300000,,4300000,4300000
2015,2815,005,0J64,MBE / WBE Certification and Compliance,2000000,,2000000,2000000
2015,2807,005,0M39,Urban Area Security Initiative,225217,99895,,99895
2015,2807,005,0J41,Community Development Block Grant,3630231,3644182,,3644182
2015,2807,005,0J41,Total - 005 - Office of Budget and Management,15497560,16696077,9690420,26386497
2015,2829,006,0H70,Bioterrorism Response Planning,502059,506373,,506373
2015,2824,006,0N63,Child Care Services,,369928,,369928
2015,2944,006,0N37,Emergency Solutions,,142975,,142975
2015,2820,006,0792,Fiber Connection Grant,,566000,,566000
2015,2823,006,0N54,Head Start,,487422,,487422
2015,2810,006,0H05,Health Enterprise Systems,1567627,,,
2015,2822,006,0J30,Mayors Challenge,1000000,,900000,900000
2015,2731,006,0H35,Ryan White HIV Care Act A,255808,,,
2015,2731,006,0H60,Ryan White HIV Care Act A,,257000,,257000
2015,2731,006,0H60,Total - 006 - Department of Innovation and Technology,3325494,2329698,900000,3229698
2015,2802,027,0J65,Chicago Lives Healthy,2500000,,2500000,2500000
2015,2800,027,0N21,DHS Accounting,124585,126571,,126571
2015,2801,027,0N27,DHS Accounting,306898,317821,,317821
2015,2801,027,0J41,Community Development Block Grant,1451025,1445750,,1445750
2015,2801,027,0J41,Total - 027 - Department of Finance,4382508,1890142,2500000,4390142
2015,2801,031,0J41,Community Development Block Grant,1799052,1774938,,1774938
2015,2801,031,0J41,Total - 031 - Department of Law,1799052,1774938,,1774938
2015,2838,038,0929,ComEd Environmental Fund,920773,180000,,180000
2015,2846,038,0N54,Head Start,,207720,,207720
2015,2814,038,0P83,LED Lighting,16000,320000,,320000
2015,2843,038,0079,Lighting Retrofits,287000,300000,,300000
2015,2833,038,0079,North Park Villiage Senior Wellness Center,1000000,,1000000,1000000
2015,2842,038,0P29,Public Sector Energy Efficiency Aggregation Program,30000,600000,,600000
2015,2847,038,0N56,Senior Companion Project - ACTION,,63587,,63587
2015,2836,038,0P14,Streeterville Thorium Moratoriam Area Environmental Settlement Funds,2542000,,2442000,2442000
2015,2836,038,0J41,Community Development Block Grant,134595,140357,,140357
2015,2836,038,0J41,Total - 038 - Department of Fleet and Facility Management,4930368,1811664,3442000,5253664
2015,2836,038,0J41,Total - Finance and Administration,33083097,25180099,18713420,43893519
2015,2865,023,0J57,Art Works,,50000,,50000
2015,2865,023,0J25,Art Works,50000,,,
2015,2867,023,0J28,Burnham Award for Excellence in Planning,5000,,,
2015,2855,023,0P72,Chicago Cultural Center Exhibition,75000,20000,50000,70000
2015,2864,023,0P72,Chicago Cultural Center Foundation,136000,,136000,136000
2015,2862,023,0P72,Chicago Cultural Center Renovation / Restoration,200000,,200000,200000
2015,2859,023,0P73,Chicago Cultural Plan,258000,200000,64000,264000
2015,2868,023,0P72,Chicago Jazz Festival,36000,,,
2015,2851,023,0P72,Cultural Fund,,50000,,50000
2015,2858,023,0P72,Development / Artists Residency Project,50000,50000,20000,70000
2015,2829,023,0J67,Farmers Markets,89000,,89000,89000
2015,2861,023,0P72,Gertrude Bernstein Memorial Garden,10000,5000,5000,10000
2015,2839,023,0J23,IAC - Community Arts Access Program,146000,,146000,146000
2015,2839,023,0J55,IAC - Community Arts Access Program,,147000,,147000
2015,2838,023,0J56,IAC - Partners in Excellence,,46000,,46000
2015,2838,023,0J24,IAC - Partners in Excellence,45000,1000,44000,45000
2015,2846,023,0P72,Made in Chicago World Class Jazz,45000,,,
2015,2849,023,0P72,Millenium Park Workouts,100000,100000,,100000
2015,2869,023,0P72,Millennium Park Presents,,100000,,100000
2015,2863,023,0P72,Public Art Endowment,610000,,610000,610000
2015,2848,023,0P72,Summerdance and World Music Festival,230000,,205000,205000
2015,2866,023,0J58,Tourism Marketing Partnership Program,,58000,,58000
2015,2866,023,0J26,Tourism Marketing Partnership Program,58000,,20000,20000
2015,2852,023,0P72,World Music Festival,20000,25000,,25000
2015,2852,023,0P72,Total - 023 - Department of Cultural Affairs and Special Events,2163000,852000,1589000,2441000
2015,0S85,054,2800,ARRA - Neighborhood Stabilization Program 2,794000,,,
2015,0S13,054,2815,ARRA - Neighborhood Stabilization Program 3,2500000,,,
2015,0S13,054,2878,ARRA - Neighborhood Stabilization Program 3 - Program Income,3388000,1346000,216000,1562000
2015,0S85,054,2850,ARRA - Neighborhood Stabilization Program Income,7920000,644000,5166000,5810000
2015,0S73,054,2849,ARRA - Neighborhood Stabilization Program Income,8662000,754000,5827000,6581000
2015,2840,054,0K50,Chicago Landmarks Map,,17000,,17000
2015,2863,054,0K43,Choice Neighborhoods Implementation,591000,154000,,154000
2015,2879,054,0K77,Com Ed Green Region Program,10000,,10000,10000
2015,2880,054,0J63,Community Development Block Grant - Disaster Recovery,8810000,,8810000,8810000
2015,2868,054,0K32,Foreclosure Prevention Program,975000,782000,99000,881000
2015,2819,054,0K11,Home Investment Partnership,37019000,,20890000,20890000
2015,2819,054,0K73,Home Investment Partnership,,17162000,,17162000
2015,2819,054,0K14,Home Investment Partnership,16832000,,11694000,11694000
2015,2874,054,0K75,Low Income Housing Trust Fund,1200000,8000000,,8000000
2015,2877,054,0K41,Pershing Road Incubator Feasibility Study,95000,,,
2015,2832,054,0K17,Ravenswood Industrial Cooridor,100000,,100000,100000
2015,2832,054,0J41,Community Development Block Grant,33234280,31544388,,31544388
2015,2832,054,0J41,Total - 054 - Department of Planning and Development,122130280,60403388,52812000,113215388
2015,2832,054,0J41,Total - City Development,124293280,61255388,54401000,115656388
2015,2714,041,0H52,Air Pollution Control Program,,412000,,412000
2015,2714,041,0H45,Air Pollution Control Program,412000,,,
2015,2734,041,0071,Biosense Syndromic Surveillance,25000,25000,9000,34000
2015,2883,041,0847,Bioterrorism Hospital Preparedness Program,123000,,,
2015,2883,041,0H75,Bioterrorism Hospital Preparedness Program,,2696000,,2696000
2015,2883,041,0H41,Bioterrorism Hospital Preparedness Program,2696000,,,
2015,2829,041,0H42,Bioterrorism Preparedness Response Planning,9332941,,3904000,3904000
2015,2829,041,0H70,Bioterrorism Preparedness Response Planning,,9345627,,9345627
2015,2829,041,0847,Bioterrorism Preparedness Response Planning,3904000,,,
2015,2983,041,0X03,Breastfeeding Peer Counseling,,40000,,40000
2015,2983,041,0H99,Breastfeeding Peer Counseling,40000,,,
2015,2710,041,0H50,Building Epidemiology and Health IT Capacity,,790000,,790000
2015,2710,041,0H32,Building Epidemiology and Health IT Capacity,510000,,,
2015,2710,041,0517,Building Epidemiology and Health IT Capacity,300000,,,
2015,2700,041,0H49,Care Van Blue Cross,,75000,,75000
2015,2700,041,0H28,Care Van Blue Cross,75000,,,
2015,2894,041,0K48,Chicago Family Case Management,1439000,,,
2015,2894,041,0H78,Chicago Family Case Management,,1439000,,1439000
2015,2804,041,0248,Childhood Lead Poisoning Prevention,222000,,201000,201000
2015,2804,041,0H62,Childhood Lead Poisoning Prevention,,431000,,431000
2015,2804,041,0H15,Childhood Lead Poisoning Prevention,431000,,140000,140000
2015,2726,041,0H07,Community Transformation,294000,,,
2015,2713,041,0H51,Dating Matters,,370000,,370000
2015,2713,041,0H29,Dating Matters,370000,,22000,22000
2015,2871,041,0H11,Dental Sealant,60000,,,
2015,2871,041,0071,Dental Sealant,104000,,98000,98000
2015,2871,041,0H73,Dental Sealant,,60000,,60000
2015,2880,041,0594,Educational Seminars Support,46000,,41000,41000
2015,2813,041,0517,Epidemiology and Laboratory Capacity,75000,,,
2015,2729,041,0H25,Genetics Education / Follow Up Services,117000,,,
2015,2729,041,0H58,Genetics Education / Follow Up Services,,138000,,138000
2015,2812,041,0H64,HIV / AIDS Prevention,,9300000,,9300000
2015,2812,041,0H20,HIV / AIDS Prevention,9163000,,1200000,1200000
2015,2812,041,0260,HIV / AIDS Prevention,1267000,,450000,450000
2015,2733,041,0H69,HIV / AIDS Surveillance,,1465000,,1465000
2015,2733,041,0H16,HIV / AIDS Surveillance,1465000,,493000,493000
2015,2978,041,0H83,HIV Behavioral Surveillance,,478000,,478000
2015,2978,041,0H19,HIV Behavioral Surveillance,1125000,,,
2015,2961,041,0578,HOPWA Housing and Health Study Program,486000,486000,,486000
2015,2718,041,0H53,Hazardous Materials Emergency Preparedness (HMEP) Planning,,40000,,40000
2015,2718,041,0H44,Hazardous Materials Emergency Preparedness (HMEP) Planning,34000,,,
2015,2921,041,0H05,Health Services Program Income,6223373,,,
2015,2921,041,0H79,Health Services Program Income,,191446,,191446
2015,2849,041,0H71,Healthy Families Illinois,,247000,,247000
2015,2849,041,0K49,Healthy Families Illinois,247000,,,
2015,2816,041,0H18,Healthy Start Initiative - Elimination Deparities in Perinatal Health,889000,,,
2015,2816,041,0H66,Healthy Start Initiative - Elimination Deparities in Perinatal Health,,889000,,889000
2015,2932,041,0H80,Housing Opportunities for People with AIDS (HOPWA),,7696000,,7696000
2015,2932,041,0H36,Housing Opportunities for People with AIDS (HOPWA),7696000,,1588000,1588000
2015,280A,041,0H88,Immunization Billing Services,500000,,500000,500000
2015,2727,041,0261,Immunization Capacity Building Assistance,1015000,,390000,390000
2015,2820,041,0H23,Immunization and Vaccines for Children,4689000,,200000,200000
2015,2820,041,0261,Immunization and Vaccines for Children,1131000,,,
2015,2820,041,0H67,Immunization and Vaccines for Children,,4689000,,4689000
2015,2884,041,0H76,Lead Based Paint Hazard Control (Torrens Fund),,400000,,400000
2015,2884,041,0H24,Lead Based Paint Hazard Control (Torrens Fund),400000,,,
2015,2944,041,0847,Lead Hazard Reduction Demonstration Program,2700000,3000000,,3000000
2015,280L,041,0X02,Lead Poisoning Surveillance,348000,,348000,348000
2015,2730,041,0H59,Local Health Protection,,2541000,,2541000
2015,2730,041,0H30,Local Health Protection,2541000,,,
2015,2910,041,0K47,Maternal and Child Health Block Grant,5018000,,,
2015,2910,041,0H79,Maternal and Child Health Block Grant,,4826554,,4826554
2015,2802,041,0H61,Mental Health Services,,776000,,776000
2015,2802,041,0H37,Mental Health Services,776000,,,
2015,2974,041,0562,Minority AIDS Initiative,598000,,598000,598000
2015,2974,041,0H34,Minority AIDS Initiative,1677000,,,
2015,2887,041,0H21,Morbidity and Risk Behavior Surveillance,457000,,25000,25000
2015,2887,041,0H77,Morbidity and Risk Behavior Surveillance,,457000,,457000
2015,2960,041,0H27,Mosquito Vector Prevention Program (Tire Funds),672000,,,
