Year,Fund Code,Dept Number,Appropriation Authority,Appropriation Account,Appropriation Account Description,Recommendation,Previous Year Revised,Previous Year Appropriation,Earlier Year Expenditures
2014,0100,027,2011,,Appropriation Total*,3272327,3468893,3468893,3520777
2014,0100,027,2012,0000,Personnel Services,,,,
2014,0100,027,2012,0005,Salaries and Wages - on Payroll,3246626,3196346,3196346,3333101
2014,0100,027,2012,0015,Schedule Salary Adjustments,21183,21969,21969,
2014,0100,027,2012,0020,Overtime,10000,10000,10000,
2014,0100,027,2012,0000,Personnel Services - Total*,3277809,3228315,3228315,3333101
2014,0100,027,2012,0100,Contractual Services,,,,
2014,0100,027,2012,0130,Postage,16700,16700,16700,12549
2014,0100,027,2012,0140,For Professional and Technical Services and Other Third,80100,80100,80100,83472
2014,0100,027,2012,0142,Accounting and Auditing,603863,603863,603863,524860
2014,0100,027,2012,0150,Publications and Reproduction - Outside Services to Be,14561,14561,14561,
2014,0100,027,2012,0157,Rental of Equipment and Services,13396,13396,13396,12460
2014,0100,027,2012,0162,Repair/Maintenance of Equipment,1050,1050,1050,190
2014,0100,027,2012,0166,"Dues, Subscriptions and Memberships",1800,1800,1800,1320
2014,0100,027,2012,0169,Technical Meeting Costs,52924,52924,52924,4442
2014,0100,027,2012,0190,Telephone - Centrex Billing,16000,15000,15000,16000
2014,0100,027,2012,0197,Telephone - Maintenance and Repair of,1500,2500,2500,3400
2014,0100,027,2012,0100,Contractual Services - Total*,801894,801894,801894,658693
2014,0100,027,2012,0200,Travel,,,,
2014,0100,027,2012,0245,Reimbursement to Travelers,3000,3000,3000,1298
2014,0100,027,2012,0270,Local Transportation,825,825,825,66
2014,0100,027,2012,0200,Travel - Total*,3825,3825,3825,1364
2014,0100,027,2012,0300,Commodities and Materials,,,,
2014,0100,027,2012,0348,Books and Related Material,600,600,600,333
2014,0100,027,2012,0350,Stationery and Office Supplies,20000,20000,20000,24800
2014,0100,027,2012,0300,Commodities and Materials - Total*,20600,20600,20600,25133
2014,0100,027,2012,,Appropriation Total*,4104128,4054634,4054634,4018291
2014,0100,027,2015,0000,Personnel Services,,,,
2014,0100,027,2015,0005,Salaries and Wages - on Payroll,5448344,5435888,5435888,5373912
2014,0100,027,2015,0015,Schedule Salary Adjustments,22344,24551,24551,
2014,0100,027,2015,0039,For the Employment of Students as Trainees,40000,40000,40000,
2014,0100,027,2015,0000,Personnel Services - Total*,5510688,5500439,5500439,5373912
2014,0100,027,2015,0100,Contractual Services,,,,
2014,0100,027,2015,0130,Postage,132860,302860,302860,85138
2014,0100,027,2015,0138,For Professional Services for Information Technology,155000,155000,155000,
2014,0100,027,2015,0140,For Professional and Technical Services and Other Third,,3506984,3506984,
2014,0100,027,2015,0149,For Software Maintenance and Licensing,344800,344800,344800,19832
2014,0100,027,2015,0150,Publications and Reproduction - Outside Services to Be,261181,302181,302181,33452
2014,0100,027,2015,0152,Advertising,7800,7800,7800,5563
2014,0100,027,2015,0157,Rental of Equipment and Services,25000,25000,25000,
2014,0100,027,2015,0162,Repair/Maintenance of Equipment,55500,55796,55796,22944
2014,0100,027,2015,0166,"Dues, Subscriptions and Memberships",5442,5442,5442,219
2014,0100,027,2015,0169,Technical Meeting Costs,9885,9885,9885,1694
2014,0100,027,2015,0178,Freight and Express Charges,300,,,
2014,0100,027,2015,0197,Telephone - Maintenance and Repair of,,21000,21000,
2014,0100,027,2015,0100,Contractual Services - Total*,997768,4736748,4736748,168842
2014,0100,027,2015,0200,Travel,,,,
2014,0100,027,2015,0245,Reimbursement to Travelers,3338,3338,3338,
2014,0100,027,2015,0270,Local Transportation,8750,8750,8750,7226
2014,0100,027,2015,0200,Travel - Total*,12088,12088,12088,7226
2014,0100,027,2015,0300,Commodities and Materials,,,,
2014,0100,027,2015,0340,Material and Supplies,53900,53900,53900,
2014,0100,027,2015,0348,Books and Related Material,2100,2100,2100,
2014,0100,027,2015,0350,Stationery and Office Supplies,26900,26900,26900,12114
2014,0100,027,2015,0300,Commodities and Materials - Total*,82900,82900,82900,12114
2014,0100,027,2015,,Appropriation Total*,6603444,10332175,10332175,5562094
2014,0100,027,2020,0000,Personnel Services,,,,
2014,0100,027,2020,0005,Salaries and Wages - on Payroll,21585659,20744211,20744211,19099645
2014,0100,027,2020,0012,Contract Wage Increment - Prevailing Rate,81682,46859,46859,
2014,0100,027,2020,0015,Schedule Salary Adjustments,100006,108681,108681,
2014,0100,027,2020,0020,Overtime,53468,53468,53468,927
2014,0100,027,2020,0039,For the Employment of Students as Trainees,15000,15000,15000,
2014,0100,027,2020,0091,Uniform Allowance,110750,110750,110750,85107
2014,0100,027,2020,0000,Personnel Services - Total*,21946565,21078969,21078969,19185679
2014,0100,027,2020,0100,Contractual Services,,,,
2014,0100,027,2020,0125,Office and Building Services,5000,5000,5000,15629
2014,0100,027,2020,0130,Postage,115627,115627,115627,77668
2014,0100,027,2020,0138,For Professional Services for Information Technology,22439500,17104000,17104000,16227996
2014,0100,027,2020,0140,For Professional and Technical Services and Other Third,4075310,4054310,4054310,3657419
2014,0100,027,2020,0149,For Software Maintenance and Licensing,117363,121863,121863,56976
2014,0100,027,2020,0150,Publications and Reproduction - Outside Services to Be,5000,12500,12500,2535
2014,0100,027,2020,0152,Advertising,7200,7200,7200,
2014,0100,027,2020,0156,Lock Box Rental,16828,16828,16828,10298
2014,0100,027,2020,0157,Rental of Equipment and Services,119000,119000,119000,97233
2014,0100,027,2020,0162,Repair/Maintenance of Equipment,787739,787739,787739,581399
2014,0100,027,2020,0166,"Dues, Subscriptions and Memberships",100,100,100,
2014,0100,027,2020,0169,Technical Meeting Costs,9244,9244,9244,49
2014,0100,027,2020,0178,Freight and Express Charges,2220,2220,2220,420
2014,0100,027,2020,0179,Messenger Service,50000,50000,50000,46480
2014,0100,027,2020,0181,Mobile Communication Services,160000,170000,170000,181100
2014,0100,027,2020,0189,Telephone - Non-Centrex Billings,9000,9000,9000,12000
2014,0100,027,2020,0190,Telephone - Centrex Billing,94500,83000,83000,134000
2014,0100,027,2020,0196,Data Circuits,45000,35700,35700,44000
2014,0100,027,2020,0197,Telephone - Maintenance and Repair of,115230,120000,120000,127000
2014,0100,027,2020,0100,Contractual Services - Total*,28173861,22823331,22823331,21272202
2014,0100,027,2020,0200,Travel,,,,
2014,0100,027,2020,0228,Out of Town Travel for Auditors Only,3000,6000,6000,
2014,0100,027,2020,0229,Transportation and Expense Allowance,10450,22995,22995,4688
2014,0100,027,2020,0270,Local Transportation,4226,4226,4226,36
2014,0100,027,2020,0200,Travel - Total*,17676,33221,33221,4724
2014,0100,027,2020,0300,Commodities and Materials,,,,
2014,0100,027,2020,0339,Revenue Stamps,79500,79500,79500,34185
2014,0100,027,2020,0348,Books and Related Material,600,600,600,
2014,0100,027,2020,0350,Stationery and Office Supplies,195962,195962,195962,126712
2014,0100,027,2020,0300,Commodities and Materials - Total*,276062,276062,276062,160897
2014,0100,027,2020,,Appropriation Total*,50414164,44211583,44211583,40623502
2014,0100,028,2005,0000,Personnel Services,,,,
2014,0100,028,2005,0005,Salaries and Wages - on Payroll,1863081,1777271,1777271,1768321
2014,0100,028,2005,0015,Schedule Salary Adjustments,10057,10749,10749,
2014,0100,028,2005,0039,For the Employment of Students as Trainees,19900,19900,19900,1810
2014,0100,028,2005,0000,Personnel Services - Total*,1893038,1807920,1807920,1770131
2014,0100,028,2005,0100,Contractual Services,,,,
2014,0100,028,2005,0130,Postage,1500,2500,2500,183
2014,0100,028,2005,0137,Accounting and Auditing,100000,100000,100000,90000
2014,0100,028,2005,0138,For Professional Services for Information Technology,16000,16000,16000,11060
2014,0100,028,2005,0140,For Professional and Technical Services and Other Third,220000,220000,220000,199819
2014,0100,028,2005,0162,Repair/Maintenance of Equipment,10104,10104,10104,6376
2014,0100,028,2005,0166,"Dues, Subscriptions and Memberships",72205,70205,70205,57428
2014,0100,028,2005,0169,Technical Meeting Costs,2650,2650,2650,
2014,0100,028,2005,0179,Messenger Service,500,500,500,31
2014,0100,028,2005,0181,Mobile Communication Services,1400,1300,1300,1300
2014,0100,028,2005,0189,Telephone - Non-Centrex Billings,,2900,2900,1039
2014,0100,028,2005,0190,Telephone - Centrex Billing,9200,12000,12000,12000
2014,0100,028,2005,0196,Data Circuits,600,1800,1800,1800
2014,0100,028,2005,0197,Telephone - Maintenance and Repair of,1570,2000,2000,2000
2014,0100,028,2005,0100,Contractual Services - Total*,435729,441959,441959,383036
2014,0100,028,2005,0200,Travel,,,,
2014,0100,028,2005,0270,Local Transportation,975,975,975,135
2014,0100,028,2005,0200,Travel - Total*,975,975,975,135
2014,0100,028,2005,0300,Commodities and Materials,,,,
2014,0100,028,2005,0350,Stationery and Office Supplies,6500,6500,6500,9975
2014,0100,028,2005,0300,Commodities and Materials - Total*,6500,6500,6500,9975
2014,0100,028,2005,,Appropriation Total*,2336242,2257354,2257354,2163277
2014,0100,030,2005,0000,Personnel Services,,,,
2014,0100,030,2005,0005,Salaries and Wages - on Payroll,2874587,2805899,2805899,2694288
2014,0100,030,2005,0015,Schedule Salary Adjustments,16027,13651,13651,
2014,0100,030,2005,0020,Overtime,500,500,500,
2014,0100,030,2005,0000,Personnel Services - Total*,2891114,2820050,2820050,2694288
2014,0100,030,2005,0100,Contractual Services,,,,
2014,0100,030,2005,0130,Postage,56273,46420,46420,42244
2014,0100,030,2005,0138,For Professional Services for Information Technology,786081,819283,819283,745030
2014,0100,030,2005,0140,For Professional and Technical Services and Other Third,3942805,3491250,3491250,3321748
2014,0100,030,2005,0143,Court Reporting,68466,68466,68466,63958
2014,0100,030,2005,0157,Rental of Equipment and Services,8144,8144,8144,7449
2014,0100,030,2005,0162,Repair/Maintenance of Equipment,5070,5070,5070,4460
2014,0100,030,2005,0166,"Dues, Subscriptions and Memberships",1814,1814,1814,728
2014,0100,030,2005,0169,Technical Meeting Costs,970,890,890,273
2014,0100,030,2005,0179,Messenger Service,5673,5673,5673,4272
2014,0100,030,2005,0190,Telephone - Centrex Billing,27000,26000,26000,26700
2014,0100,030,2005,0195,Relocation Expenses,500,500,500,18
2014,0100,030,2005,0197,Telephone - Maintenance and Repair of,4650,5000,5000,6500
2014,0100,030,2005,0100,Contractual Services - Total*,4907446,4478510,4478510,4223380
2014,0100,030,2005,0200,Travel,,,,
2014,0100,030,2005,0229,Transportation and Expense Allowance,2000,2000,2000,907
2014,0100,030,2005,0200,Travel - Total*,2000,2000,2000,907
2014,0100,030,2005,0300,Commodities and Materials,,,,
2014,0100,030,2005,0340,Material and Supplies,25091,25091,25091,28998
2014,0100,030,2005,0348,Books and Related Material,1318,1318,1318,530
2014,0100,030,2005,0350,Stationery and Office Supplies,8699,8699,8699,11293
2014,0100,030,2005,0300,Commodities and Materials - Total*,35108,35108,35108,40821
2014,0100,030,2005,,Appropriation Total*,7835668,7335668,7335668,6959396
2014,0100,031,2005,0000,Personnel Services,,,,
2014,0100,031,2005,0005,Salaries and Wages - on Payroll,24458022,24481158,24481158,24885898
2014,0100,031,2005,0015,Schedule Salary Adjustments,42635,25112,25112,
2014,0100,031,2005,0020,Overtime,29332,3734,3734,18378
2014,0100,031,2005,0039,For the Employment of Students as Trainees,13143,20025,20025,
2014,0100,031,2005,0000,Personnel Services - Total*,24543132,24530029,24530029,24904276
2014,0100,031,2005,0100,Contractual Services,,,,
2014,0100,031,2005,0130,Postage,37473,38727,38727,27951
2014,0100,031,2005,0138,For Professional Services for Information Technology,257318,268678,268678,212156
2014,0100,031,2005,0140,For Professional and Technical Services and Other Third,1118316,1068134,1068734,1035666
2014,0100,031,2005,0141,Appraisals,8070,8070,8070,3792
2014,0100,031,2005,0143,Court Reporting,968606,1078007,1078007,1184068
2014,0100,031,2005,0145,Legal Expenses,125373,123777,123777,130316
2014,0100,031,2005,0149,For Software Maintenance and Licensing,9752,9872,9872,9813
2014,0100,031,2005,0150,Publications and Reproduction - Outside Services to Be,10013,7577,7577,7452
2014,0100,031,2005,0154,"For the Rental and Maintenance of Data Processing, Office",128765,105733,105733,89477
2014,0100,031,2005,0157,Rental of Equipment and Services,8812,9407,9407,5898
2014,0100,031,2005,0162,Repair/Maintenance of Equipment,3444,3675,3675,2419
2014,0100,031,2005,0166,"Dues, Subscriptions and Memberships",140335,119424,119424,96456
2014,0100,031,2005,0169,Technical Meeting Costs,40050,40249,40249,37971
2014,0100,031,2005,0178,Freight and Express Charges,10648,11730,11730,11760
2014,0100,031,2005,0181,Mobile Communication Services,21627,43254,43254,26463
2014,0100,031,2005,0186,Pagers,48,48,48,42
2014,0100,031,2005,0190,Telephone - Centrex Billing,113742,122553,122553,115037
2014,0100,031,2005,0191,Telephone - Relocations of Phone Lines,801,600,,
2014,0100,031,2005,0197,Telephone - Maintenance and Repair of,22552,26433,26433,31625
2014,0100,031,2005,0100,Contractual Services - Total*,3025745,3085948,3085948,3028362
2014,0100,031,2005,0200,Travel,,,,
2014,0100,031,2005,0229,Transportation and Expense Allowance,5937,1840,1840,5521
2014,0100,031,2005,0245,Reimbursement to Travelers,54013,54907,54907,63657
2014,0100,031,2005,0270,Local Transportation,55393,60074,60074,33427
2014,0100,031,2005,0200,Travel - Total*,115343,116821,116821,102605
2014,0100,031,2005,0300,Commodities and Materials,,,,
2014,0100,031,2005,0348,Books and Related Material,21053,21560,21560,18136
2014,0100,031,2005,0350,Stationery and Office Supplies,128968,130000,130000,123626
2014,0100,031,2005,0300,Commodities and Materials - Total*,150021,151560,151560,141762
2014,0100,031,2005,,Appropriation Total*,27834241,27884358,27884358,28177005
2014,0100,033,2005,0000,Personnel Services,,,,
2014,0100,033,2005,0005,Salaries and Wages - on Payroll,4488583,4364587,4364587,4183907
2014,0100,033,2005,0015,Schedule Salary Adjustments,48847,42767,42767,
2014,0100,033,2005,0039,For the Employment of Students as Trainees,30000,30000,30000,22140
2014,0100,033,2005,0050,Stipends,21000,21000,21000,16500
2014,0100,033,2005,0000,Personnel Services - Total*,4588430,4458354,4458354,4222547
2014,0100,033,2005,0100,Contractual Services,,,,
2014,0100,033,2005,0130,Postage,8560,8560,8560,5080
2014,0100,033,2005,0140,For Professional and Technical Services and Other Third,287835,239701,222701,96190
2014,0100,033,2005,0143,Court Reporting,78000,81000,88000,30706
2014,0100,033,2005,0149,For Software Maintenance and Licensing,7710,443010,453010,295950
2014,0100,033,2005,0150,Publications and Reproduction - Outside Services to Be,7500,7500,7500,
2014,0100,033,2005,0152,Advertising,6980,5480,5480,419
2014,0100,033,2005,0159,Lease Purchase Agreements for Equipment and Machinery,27410,27410,27410,25206
2014,0100,033,2005,0162,Repair/Maintenance of Equipment,10054,10054,10054,750
2014,0100,033,2005,0166,"Dues, Subscriptions and Memberships",9100,11700,11700,934
2014,0100,033,2005,0169,Technical Meeting Costs,11000,11000,11000,
2014,0100,033,2005,0178,Freight and Express Charges,2250,2250,2250,255
2014,0100,033,2005,0181,Mobile Communication Services,3300,4500,4500,3153
2014,0100,033,2005,0190,Telephone - Centrex Billing,29000,29000,29000,32821
2014,0100,033,2005,0197,Telephone - Maintenance and Repair of,6305,8000,8000,10000
2014,0100,033,2005,0100,Contractual Services - Total*,495004,889165,889165,501464
2014,0100,033,2005,0200,Travel,,,,
2014,0100,033,2005,0270,Local Transportation,2210,2360,2360,2100
2014,0100,033,2005,0200,Travel - Total*,2210,2360,2360,2100
2014,0100,033,2005,0300,Commodities and Materials,,,,
2014,0100,033,2005,0340,Material and Supplies,20068,17158,17158,8147
2014,0100,033,2005,0350,Stationery and Office Supplies,13133,13133,13133,8407
2014,0100,033,2005,0300,Commodities and Materials - Total*,33201,30291,30291,16554
2014,0100,033,2005,9000,Specific Purpose - General,,,,
2014,0100,033,2005,9067,For Physical Exams,170000,170000,170000,161067
2014,0100,033,2005,9000,Specific Purpose - General - Total,170000,170000,170000,161067
2014,0100,033,2005,,Appropriation Total*,5288845,5550170,5550170,4903732
2014,0100,035,2005,0000,Personnel Services,,,,
2014,0100,035,2005,0005,Salaries and Wages - on Payroll,5042148,4720928,4720928,3983633
2014,0100,035,2005,0012,Contract Wage Increment - Prevailing Rate,2109,2209,2209,
2014,0100,035,2005,0015,Schedule Salary Adjustments,30795,22199,22199,
2014,0100,035,2005,0000,Personnel Services - Total*,5075052,4745336,4745336,3983633
2014,0100,035,2005,0100,Contractual Services,,,,
2014,0100,035,2005,0130,Postage,12848,10000,10000,2760
2014,0100,035,2005,0140,For Professional and Technical Services and Other Third,979700,1174200,1174200,271184
2014,0100,035,2005,0150,Publications and Reproduction - Outside Services to Be,,500,500,
2014,0100,035,2005,0152,Advertising,36000,38000,38000,30630
2014,0100,035,2005,0160,Repair or Maintenance of Property,9300,9300,9300,7531
2014,0100,035,2005,0162,Repair/Maintenance of Equipment,72800,72800,72800,83178
2014,0100,035,2005,0168,Educational Development through Cooperative Education,4500,4500,4500,
2014,0100,035,2005,0169,Technical Meeting Costs,6800,6800,6800,1987
2014,0100,035,2005,0178,Freight and Express Charges,700,700,700,383
2014,0100,035,2005,0181,Mobile Communication Services,9280,9800,9800,8350
2014,0100,035,2005,0190,Telephone - Centrex Billing,26000,23626,23626,23655
2014,0100,035,2005,0197,Telephone - Maintenance and Repair of,6500,10000,10000,12553
2014,0100,035,2005,0100,Contractual Services - Total*,1164428,1360226,1360226,442211
2014,0100,035,2005,0200,Travel,,,,
2014,0100,035,2005,0229,Transportation and Expense Allowance,200,200,200,
2014,0100,035,2005,0245,Reimbursement to Travelers,2500,2500,1500,1350
2014,0100,035,2005,0270,Local Transportation,2490,1490,2490,1225
2014,0100,035,2005,0200,Travel - Total*,5190,4190,4190,2575
2014,0100,035,2005,0300,Commodities and Materials,,,,
2014,0100,035,2005,0340,Material and Supplies,3000,3000,3000,2108
2014,0100,035,2005,0350,Stationery and Office Supplies,18950,16950,16950,27136
2014,0100,035,2005,0300,Commodities and Materials - Total*,21950,19950,19950,29244
2014,0100,035,2005,,Appropriation Total*,6266620,6129702,6129702,4457663
2014,0100,038,2005,0000,Personnel Services,,,,
2014,0100,038,2005,0005,Salaries and Wages - on Payroll,,217586,217586,241330
2014,0100,038,2005,0000,Personnel Services - Total*,,217586,217586,241330
2014,0100,038,2005,,Appropriation Total*,,217586,217586,241330
2014,0100,038,2103,0000,Personnel Services,,,,
2014,0100,038,2103,0005,Salaries and Wages - on Payroll,2777853,2425365,2425365,3012925
2014,0100,038,2103,0015,Schedule Salary Adjustments,19697,15899,15899,
2014,0100,038,2103,0000,Personnel Services - Total*,2797550,2441264,2441264,3012925
2014,0100,038,2103,0100,Contractual Services,,,,
2014,0100,038,2103,0140,For Professional and Technical Services and Other Third,20000,16000,16000,228501
2014,0100,038,2103,0143,Court Reporting,5000,5000,5000,2905
2014,0100,038,2103,0148,Testing and Inspecting,2000,2000,2000,
2014,0100,038,2103,0152,Advertising,2000,2000,2000,
2014,0100,038,2103,0159,Lease Purchase Agreements for Equipment and Machinery,141000,108000,108000,70979
2014,0100,038,2103,0166,"Dues, Subscriptions and Memberships",3250,,,755
2014,0100,038,2103,0181,Mobile Communication Services,150000,252000,252000,222033
2014,0100,038,2103,0189,Telephone - Non-Centrex Billings,30400,21600,21600,18200
2014,0100,038,2103,0190,Telephone - Centrex Billing,194000,206000,206000,245587
2014,0100,038,2103,0191,Telephone - Relocations of Phone Lines,9000,9000,9000,1241
2014,0100,038,2103,0196,Data Circuits,110000,115100,115100,147000
2014,0100,038,2103,0197,Telephone - Maintenance and Repair of,33695,36000,36000,51200
2014,0100,038,2103,0100,Contractual Services - Total*,700345,772700,772700,988401
2014,0100,038,2103,0200,Travel,,,,
2014,0100,038,2103,0270,Local Transportation,250,1500,1500,6940
2014,0100,038,2103,0200,Travel - Total*,250,1500,1500,6940
2014,0100,038,2103,0300,Commodities and Materials,,,,
2014,0100,038,2103,0340,Material and Supplies,13000,12500,12500,
2014,0100,038,2103,0350,Stationery and Office Supplies,45000,40000,40000,37588
2014,0100,038,2103,0300,Commodities and Materials - Total*,58000,52500,52500,37588
2014,0100,038,2103,,Appropriation Total*,3556145,3267964,3267964,4045854
2014,0100,038,2126,0000,Personnel Services,,,,
2014,0100,038,2126,0005,Salaries and Wages - on Payroll,28442525,27229883,27056133,21473955
2014,0100,038,2126,0012,Contract Wage Increment - Prevailing Rate,482098,292587,292587,
2014,0100,038,2126,0015,Schedule Salary Adjustments,12890,9372,9372,
2014,0100,038,2126,0020,Overtime,500000,500000,500000,874101
2014,0100,038,2126,0091,Uniform Allowance,15400,10000,10000,18834
2014,0100,038,2126,0000,Personnel Services - Total*,29452913,28041842,27868092,22366890
2014,0100,038,2126,0100,Contractual Services,,,,
2014,0100,038,2126,0125,Office and Building Services,16263982,16336398,16510148,15197636
2014,0100,038,2126,0140,For Professional and Technical Services and Other Third,4196529,4160013,4160013,4067223
2014,0100,038,2126,0157,Rental of Equipment and Services,345300,367500,367500,239247
2014,0100,038,2126,0160,Repair or Maintenance of Property,560000,560000,560000,455863
2014,0100,038,2126,0162,Repair/Maintenance of Equipment,1585300,1568000,1568000,332423
2014,0100,038,2126,0188,Vehicle Tracking Service,,97703,97703,69860
2014,0100,038,2126,0100,Contractual Services - Total*,22951111,23089614,23263364,20362252
2014,0100,038,2126,0200,Travel,,,,
2014,0100,038,2126,0229,Transportation and Expense Allowance,35000,50000,50000,24793
2014,0100,038,2126,0200,Travel - Total*,35000,50000,50000,24793
2014,0100,038,2126,0300,Commodities and Materials,,,,
2014,0100,038,2126,0313,Cleaning and Sanitation Supply,827450,807900,807900,570149
2014,0100,038,2126,0319,Clothing,50712,51661,51661,
2014,0100,038,2126,0340,Material and Supplies,1010000,830000,830000,403151
2014,0100,038,2126,0342,"Drugs, Medicine and Chemical Materials",1660,1660,1660,
2014,0100,038,2126,0300,Commodities and Materials - Total*,1889822,1691221,1691221,973300
2014,0100,038,2126,,Appropriation Total*,54328846,52872677,52872677,43727235
2014,0100,038,2131,0000,Personnel Services,,,,
2014,0100,038,2131,0005,Salaries and Wages - on Payroll,2617381,2848549,2848549,2303975
2014,0100,038,2131,0015,Schedule Salary Adjustments,21339,18465,18465,
2014,0100,038,2131,0000,Personnel Services - Total*,2638720,2867014,2867014,2303975
2014,0100,038,2131,0100,Contractual Services,,,,
2014,0100,038,2131,0130,Postage,45000,45000,45000,39584
2014,0100,038,2131,0140,For Professional and Technical Services and Other Third,2034000,1170780,1170780,1220145
2014,0100,038,2131,0141,Appraisals,25000,20000,20000,4300
2014,0100,038,2131,0149,For Software Maintenance and Licensing,134600,137600,137600,8388
2014,0100,038,2131,0155,Rental of Property,11891286,16102762,16102762,16461534
2014,0100,038,2131,0157,Rental of Equipment and Services,46000,46000,46000,39167
2014,0100,038,2131,0159,Lease Purchase Agreements for Equipment and Machinery,299000,299500,299500,440862
2014,0100,038,2131,0160,Repair or Maintenance of Property,200000,150000,150000,90004
2014,0100,038,2131,0162,Repair/Maintenance of Equipment,70000,60000,60000,14481
2014,0100,038,2131,0166,"Dues, Subscriptions and Memberships",2915,1415,1415,
2014,0100,038,2131,0169,Technical Meeting Costs,6390,6390,6390,6009
2014,0100,038,2131,0179,Messenger Service,2500,4000,4000,2242
2014,0100,038,2131,0185,Waste Disposal Services,4000,8820,8820,6942
2014,0100,038,2131,0100,Contractual Services - Total*,14760691,18052267,18052267,18333658
2014,0100,038,2131,0200,Travel,,,,
2014,0100,038,2131,0229,Transportation and Expense Allowance,2214,2214,2214,60
2014,0100,038,2131,0200,Travel - Total*,2214,2214,2214,60
2014,0100,038,2131,0300,Commodities and Materials,,,,
2014,0100,038,2131,0315,Motor Vehicle Diesel Fuel,11939360,10082549,10082549,9375000
2014,0100,038,2131,0318,Other Fuel,340047,335107,335107,281351
2014,0100,038,2131,0320,Gasoline,16626466,15366801,15366801,14013247
2014,0100,038,2131,0322,Natural Gas,3695915,2037028,2037028,1949540
2014,0100,038,2131,0325,Alternative Fuel,244000,244000,244000,209793
2014,0100,038,2131,0331,Electricity,12445517,9581118,9581118,8189975
2014,0100,038,2131,0340,Material and Supplies,205158,205158,205158,1865682
2014,0100,038,2131,0348,Books and Related Material,165,885,885,
2014,0100,038,2131,0350,Stationery and Office Supplies,410000,390000,390000,415052
2014,0100,038,2131,0300,Commodities and Materials - Total*,45906628,38242646,38242646,36299640
2014,0100,038,2131,9000,Specific Purpose - General,,,,
2014,0100,038,2131,9067,For Physical Exams,80535,11785,11785,
2014,0100,038,2131,9000,Specific Purpose - General - Total,80535,11785,11785,
2014,0100,038,2131,9100,Specific Purpose - as Specified,,,,
2014,0100,038,2131,9160,For Expenses Related to Services Provided by PBC,1453341,1233354,1233354,1339249
2014,0100,038,2131,9100,Specific Purpose - as Specified - Total,1453341,1233354,1233354,1339249
2014,0100,038,2131,,Appropriation Total*,64842129,60409280,60409280,58276582
2014,0100,038,2140,0000,Personnel Services,,,,
2014,0100,038,2140,0005,Salaries and Wages - on Payroll,30172311,32927971,32927971,31424572
2014,0100,038,2140,0012,Contract Wage Increment - Prevailing Rate,457261,436359,436359,
2014,0100,038,2140,0015,Schedule Salary Adjustments,23837,24127,24127,
2014,0100,038,2140,0020,Overtime,400000,400000,400000,653116
2014,0100,038,2140,0000,Personnel Services - Total*,31053409,33788457,33788457,32077688
2014,0100,038,2140,0100,Contractual Services,,,,
2014,0100,038,2140,0140,For Professional and Technical Services and Other Third,4262982,4577138,4577138,4282008
2014,0100,038,2140,0148,Testing and Inspecting,102060,108571,108571,45902
2014,0100,038,2140,0149,For Software Maintenance and Licensing,112804,134000,134000,326608
2014,0100,038,2140,0157,Rental of Equipment and Services,2379483,2386145,2386145,984381
2014,0100,038,2140,0161,"Operation, Repair or Maintenance of Facilities",216201,230000,230000,212601
2014,0100,038,2140,0162,Repair/Maintenance of Equipment,377676,401785,401785,83956
2014,0100,038,2140,0166,"Dues, Subscriptions and Memberships",5000,,,
2014,0100,038,2140,0176,Maintenance and Operation - City Owned Vehicles,5731514,5731515,5731515,4938820
2014,0100,038,2140,0185,Waste Disposal Services,4704,5000,5000,1646
2014,0100,038,2140,0188,Vehicle Tracking Service,75000,,,
2014,0100,038,2140,0100,Contractual Services - Total*,13267424,13574154,13574154,10875922
2014,0100,038,2140,0200,Travel,,,,
2014,0100,038,2140,0245,Reimbursement to Travelers,10000,,,
2014,0100,038,2140,0200,Travel - Total*,10000,,,
2014,0100,038,2140,0300,Commodities and Materials,,,,
2014,0100,038,2140,0319,Clothing,37800,40219,40219,
2014,0100,038,2140,0338,"License Sticker, Tag and Plates",104050,104050,104050,69595
2014,0100,038,2140,0340,Material and Supplies,48912,46714,46714,941352
2014,0100,038,2140,0342,"Drugs, Medicine and Chemical Materials",3885,4125,4125,940
2014,0100,038,2140,0345,Apparatus and Instruments,47004,50000,50000,40141
2014,0100,038,2140,0348,Books and Related Material,588,625,625,301
2014,0100,038,2140,0360,Repair Parts and Material,11170427,8758765,8758765,5009132
2014,0100,038,2140,0300,Commodities and Materials - Total*,11412666,9004498,9004498,6061461
2014,0100,038,2140,,Appropriation Total*,55743499,56367109,56367109,49015071
2014,0100,039,2005,0000,Personnel Services,,,,
2014,0100,039,2005,0005,Salaries and Wages - on Payroll,6327636,6254566,6603588,6370099
2014,0100,039,2005,0015,Schedule Salary Adjustments,4908,5204,5204,
2014,0100,039,2005,0020,Overtime,322715,680,30680,304448
2014,0100,039,2005,0039,For the Employment of Students as Trainees,,49022,,
2014,0100,039,2005,0055,Extra Hire,1770660,430300,100300,1885866
2014,0100,039,2005,0000,Personnel Services - Total*,8425919,6739772,6739772,8560413
2014,0100,039,2005,0100,Contractual Services,,,,
2014,0100,039,2005,0130,Postage,206016,50073,50073,194355
2014,0100,039,2005,0138,For Professional Services for Information Technology,54189,5614,5614,51122
2014,0100,039,2005,0140,For Professional and Technical Services and Other Third,495348,238069,238069,196481
